subject,item,length,ci,gender,age,year,gpa,acc,rt,SUIS,VVIQ,TVIC,BAISV,BAISC,uni,img_ex,img_par,familiarity,difficulty,speed,self
1,pets,112,0.447368421,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,6,4.131578947,4.473684211,1.815789474,2.657894737,3.368421053
1,money,102,0.555555556,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,4.066666667,2.710526316,3.684210526,2.815789474,2.947368421,2.552631579
1,nations,109,0.565789474,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,3.933333333,3.631578947,3.421052632,2.684210526,2.842105263,3.052631579
1,communication,105,0.513157895,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,2.866666667,2.657894737,3.578947368,2.473684211,2.789473684,3.157894737
1,alexander,109,0.609375,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,5,3.710526316,3.394736842,2.605263158,2.789473684,3.263157895
1,telescope,125,0.245098039,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,6,3.736842105,3.657894737,2.684210526,2.736842105,3.236842105
1,geneology,112,0.38125,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,3.466666667,2.815789474,2.447368421,2.947368421,3,2.947368421
1,plants,198,0.494565217,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,5.733333333,4.026315789,3.315789474,2.289473684,2.789473684,3.552631579
1,culture,131,0.375,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,2.933333333,2.263157895,4.105263158,3.263157895,3.157894737,2.526315789
1,magna,139,0.321428571,female,22,4,3.2,0.88,2413.89,4.333333333,4.5625,5,6.428571429,6.428571429,hacettepe,3.866666667,3.263157895,2.868421053,3.578947368,3.236842105,2.526315789
2,pets,112,0.184210526,female,22,4,3.41,0.93,3756.12,4.333333333,4.125,4.166666667,6.642857143,6.857142857,hacettepe,6,4.131578947,4.473684211,1.815789474,2.657894737,3.368421053
2,money,102,0.305555556,female,22,4,3.41,0.93,3756.12,4.333333333,4.125,4.166666667,6.642857143,6.857142857,hacettepe,4.066666667,2.710526316,3.684210526,2.815789474,2.947368421,2.552631579
2,nations,109,0.368421053,female,22,4,3.41,0.93,3756.12,4.333333333,4.125,4.166666667,6.642857143,6.857142857,hacettepe,3.933333333,3.631578947,3.421052632,2.684210526,2.842105263,3.052631579
2,communication,105,0.184210526,female,22,4,3.41,0.93,3756.12,4.333333333,4.125,4.166666667,6.642857143,6.857142857,hacettepe,2.866666667,2.657894737,3.578947368,2.473684211,2.789473684,3.157894737
2,alexander,109,0.46875,female,22,4,3.41,0.93,3756.12,4.333333333,4.125,4.166666667,6.642857143,6.857142857,hacettepe,5,3.710526316,3.394736842,2.605263158,2.789473684,3.263157895
